"address","business_id","categories","city","is_open","latitude","longitude","name","postal_code","review_count","stars","state"
"2512 Weddington Ave","w7N_q76R_DydNqK1zvHmBw","Home Services, Apartments, Real Estate","Charlotte",True,"35","-81","Venue","28204","9","4","NC"
"4508 E Independence Blvd","CsLQLiRoafpJPJSkNX2h5Q","Food, Grocery, Restaurants, Middle Eastern","Charlotte",False,"35","-81","Middle East Deli","28205","5","3","NC"
"1025 Morehead Medical Dr, Ste 225","X9s0hWVFKB7zCxc5jMgYag","Chiropractors, Doctors, Pain Management, Health & Medical","Charlotte",True,"35","-81","Southeast Pain and Spine Care - Morehead","28204","7","1","NC"
"4600 Lebanon Rd, Ste B","j227Ila_C6ZjAEoAxKU_CQ","Home Services, Heating & Air Conditioning/HVAC","Charlotte",True,"35","-81","Andersen Heating & Cooling","28227","7","3","NC"
"10370 Park Rd, Ste 202","WHcaRhDuMY9j6N6cxDmGWg","Health & Medical, Allergists, Doctors","Charlotte",True,"35","-81","Family Allergy Asthma & Sinus Care","28210","4","4","NC"
"7945 N Tryon St, Unit 110","Ye6Bdtw2lq5Y6FeX-p377Q","Vegan, Soul Food, Restaurants, Food, Juice Bars & Smoothies","Charlotte",True,"35","-81","Veltree","28262","7","5","NC"
"5410 E Independence Blvd","bt00hbBi-DN6ksKiQngV4g","Grocery, Health Markets, Specialty Food, Health & Medical, Herbs & Spices, Organic Stores, Food","Charlotte",False,"35","-81","Healthy Home Market","28212","20","4","NC"
"9630-G University City Blvd","UZCfJ29B4MRIS3igABE_Ew","Grocery, Specialty Food, Ethnic Food, Food, Imported Food","Charlotte",True,"35","-81","Gandhi International Market","28213","11","2","NC"
"7800 Fairview Rd","nwxF9EKLOCpkScMF2utHDw","Ice Cream & Frozen Yogurt, Food, Event Planning & Services, Desserts, Caterers","Charlotte",True,"35","-81","Ben & Jerry's","28226","19","4","NC"
"8129 Ardrey Kell Rd","xHZmM-kGXqOfmQNTm0T05g","Burgers, Italian, Beauty & Spas, Wine Bars, Barbers, Peruvian, American (Traditional), Bars, Gastropubs, Diners, Salad, Specialty Food, Restaurants, American (New), Nightlife, Cafes, Food","Charlotte",False,"35","-81","Circles Grill and Market","28277","27","4","NC"
"5521 Westpark Dr","GiTv0gFXtYFQAzCXnPvepQ","Restaurants, American (Traditional), American (New), Tex-Mex, Bars, Nightlife","Charlotte",True,"35","-81","Chili's","28217","48","3","NC"
"2201 Park Rd, Ste A","FOrvwGaFRpIjAMaI7FsB4A","Hair Removal, Nail Salons, Beauty & Spas, Eyelash Service, Makeup Artists, Waxing","Charlotte",True,"35","-81","Lacquer & Wax Beautique","28203","18","3","NC"
"9010 Harris Corners Pkwy","ZBE-H_aUlicix_9vUGQPIQ","Bars, Restaurants, Sports Bars, Chicken Wings, American (Traditional), Nightlife","Charlotte",True,"35","-81","Hickory Tavern","28269","100","3","NC"
"4535 Park Rd","GaiCQuVwiujXOsTWoFxb5g","Home Services, Mortgage Brokers, Financial Services, Real Estate, Banks & Credit Unions","Charlotte",True,"35","-81","Bank of America","28209","4","3","NC"
"Charlotte-Douglas Intl Airport","4buRElPC3-ka-s2q55VVFw","Local Flavor, Beer, Wine & Spirits, Food","Charlotte",True,"35","-81","Carolina Beer Company","28208","77","2","NC"
"1615 Elizabeth Ave","zRV7bzP_CfTg-_R9U-VsVg","Music Venues, Nightlife, Arts & Entertainment, Cinema","Charlotte",True,"35","-81","Visulite Theatre","28204","57","4","NC"
"1600 E Woodlawn Rd, Ste 100","RGK23CEkDfYHWtUbRhA-bQ","Burgers, Restaurants, American (New), Bars, American (Traditional), Nightlife","Charlotte",True,"35","-81","The Turnhouse Grille","28209","102","5","NC"
"14835 Ballantyne Village Way, Ste 120","tc_iSFczfkfIF2H7uqs_eQ","Fashion, Accessories, Shopping, Used, Vintage & Consignment","Charlotte",True,"35","-81","Nouveaux Couture Consignment","28277","7","5","NC"
"3207 Eastway Dr","zUHIDqm_UKdnSygmWKtyRg","Delis, Restaurants","Charlotte",True,"35","-81","Food Lion","28205","5","3","NC"
"11042A Cedar Walk Ln","8Ig8z08VcW53oMk3R13btA","Specialty Food, Food, Popcorn Shops","Charlotte",False,"35","-81","Tastebuds Popcorn","28277","6","4","NC"
"4310 Sharon Rd, Ste T01A, The Village at SouthPark","zaxxzoMkIOdKlQC9yeDz-g","Hair Salons, Beauty & Spas","Charlotte",True,"35","-81","8 - The Salon","28211","35","4","NC"
"9300 N Lakebrook Rd","W58yQ1el2YBYpO8EjOI1Kw","Home Services, Local Services, Appliances & Repair, Heating & Air Conditioning/HVAC","Charlotte",True,"35","-81","Andy Lewis Heating and Air Conditioning","28214","11","3","NC"
"2135 Southend Dr, Ste 109","CGUK3cd2gxp2q3KPY19Oog","Breakfast & Brunch, Restaurants, Coffee & Tea, Cafes, Food","Charlotte",True,"35","-81","Roots Cafe","28203","104","4","NC"
"11611 Ardrey Kell Road","_sqtz2Lk7LKVQ-RwHqoujQ","Pilates, Active Life, Yoga, Fitness & Instruction, Sports Clubs, Gyms","Charlotte",True,"35","-81","Fitness Connection","28277","37","3","NC"
"8100 Old Mallard Creek Rd","7RoaNSRDpjaDVWfpDnbPng","Sports Clubs, Local Services, Community Service/Non-Profit, Child Care & Day Care, Active Life, Gyms, Fitness & Instruction","Charlotte",True,"35","-81","University City Branch YMCA","28262","18","3","NC"
"13545 Steele Croft Pkwy, Ste 110","n3a4ytrLWiSkLMrhp8P0Uw","Active Life, Gyms, Trainers, Fitness & Instruction","Charlotte",True,"35","-81","Fitness Together","28278","3","5","NC"
"8140-100 Providence Rd","uwpPniaFEVkK5T_PWdQZ0A","Breakfast & Brunch, Restaurants, Coffee & Tea, American (Traditional), Food","Charlotte",True,"35","-81","Le Peep","28277","134","4","NC"
"5450 N Sharon Amity Rd","yd6pLLCKrrQvV_sV37YLrQ","Pet Services, Pet Groomers, Pet Sitting, Pets, Veterinarians, Pet Boarding","Charlotte",True,"35","-81","Hickory Grove Animal Hospital","28215","7","5","NC"
"338 S Sharon Amity Rd, Ste 175","inMRWxx835CHwtVnxJPlLg","Heating & Air Conditioning/HVAC, Professional Services, Carpet Cleaning, Home Services, Home Cleaning, Air Duct Cleaning, Local Services","Charlotte",True,"35","-81","CLT Quality Air Duct Cleaning","28211","6","5","NC"
"2325 W Arbors Dr, Ste 105","aUh_NqYX0lvK6erjKfJn_A","Dentists, General Dentistry, Endodontists, Cosmetic Dentists, Health & Medical","Charlotte",True,"35","-81","Gina Davis, DDS Artistic Family Dentistry","28262","6","5","NC"
"8626 Hankins Rd","1us5qNogRwpeI1NkztKa1Q","Active Life, Amateur Sports Teams","Charlotte",True,"35","-81","Charlotte Sports Center","28269","3","4","NC"
"10216 Perimeter Pkwy, Ste 7","ljtJ8In8nEoLkotLwxguPg","Beauty & Spas, Hair Salons, Barbers","Charlotte",True,"35","-81","Naturaltress Salon","28205","12","3","NC"
"1819 E 7th St","0Vf9cMIIdH8uNLOtW-Dtjg","Beauty & Spas, Skin Care, Hair Removal, Hair Salons","Charlotte",False,"35","-81","Fuze Salon","28204","7","5","NC"
"8035 Providence Rd, Ste 330","KykaDerdKSmeiyX4L-82uA","Active Life, Trainers, Physical Therapy, Pilates, Health & Medical, Fitness & Instruction, Cardio Classes","Charlotte",True,"35","-81","IM=X Pilates and Fitness","28277","3","5","NC"
"2004 E 7th St","TreYsBGjXptogQQmQh1-bg","Breakfast & Brunch, Greek, American (Traditional), Restaurants, Mediterranean","Charlotte",True,"35","-81","Showmars - Seventh Street","28204","37","3","NC"
"1820 East Blvd","7IoodTC2xwmBWvoFCP5urg","Waxing, Permanent Makeup, Day Spas, Skin Care, Beauty & Spas, Hair Removal","Charlotte",True,"35","-81","Best You Face and Body","28203","3","5","NC"
"1039 Providence Rd","QEgfK_TKY8bwK-YzKDdkGw","French, Restaurants","Charlotte",False,"35","-81","Lumiere French Kitchen","28207","140","5","NC"
"127 N Tryon St","3aJEg4C6980DTPQrBHh6qQ","Restaurants, Delis","Charlotte",False,"35","-81","Just Fresh","28202","11","5","NC"
"101 N Tryon St","4BEl7jCbias-xEr-LrA1qw","Food, Coffee & Tea","Charlotte",True,"35","-81","Starbucks","28246","38","3","NC"
"101 S Tryon St","6tpH6roCryLArAvWVKFLyQ","Yelp Events, Local Flavor","Charlotte",True,"35","-81","Yelp Elite Event: Fall Mingle at Eddie V's","28280","40","5","NC"
"5501 Josh Birmingham Pkwy","h1JiQERQeiV8kxv5KRjWYA","Restaurants, Sandwiches","Charlotte",True,"35","-81","Fresh Attractions","28208","35","3","NC"
"16631 Lancaster Hwy 109, Ste 109","v_6HzkKuraBkTa1roLUL8Q","Hair Salons, Beauty & Spas, Men's Hair Salons","Charlotte",True,"35","-81","Honeycuts Haircare For Men","28277","15","4","NC"
"10102 Johnston Rd","vlLHfWn-Gyyfnh5Lp_kJsg","Restaurants, Burgers","Charlotte",False,"35","-81","Burger King","28210","6","3","NC"
"8620 Bella Reese Rd","cZssy9y2nEkMScQlAAxjug","Apartments, Home Services, Real Estate","Charlotte",True,"35","-81","Camden Stonecrest","28277","12","5","NC"
"516 N Graham St, Ste 5A","KPy0pz5I4lgV-Fuw5WRHKw","Eyelash Service, Beauty & Spas, Hair Removal, Nail Salons, Waxing, Day Spas","Charlotte",True,"35","-81","Riplash At Buffsalon","28202","5","5","NC"
"4777 Sharon Rd","U8ubLSxnCKRAJRmN1XWZaA","Steakhouses, Restaurants","Charlotte",True,"35","-81","Oak Steakhouse Charlotte","28210","102","4","NC"
NULL,"XU1Nyf2FC9vu7s3iV4luTA","Food, Bakeries","Charlotte",True,"35","-81","Simple As Cake","28211","5","2","NC"
"115 McCullough Dr","uCgHhVx88-23VCZTdh8hxg","Mediterranean, Greek, Restaurants, Sandwiches, Burgers","Charlotte",True,"35","-81","Showmars - University","28262","56","4","NC"
"3700 Wt Harris Blvd","stCP0pdz5_3i7AAzmt5dSw","Restaurants, Fast Food, Burgers","Charlotte",True,"35","-81","Wendys","28269","18","2","NC"
"206 S Sharon Amity Rd","gr2gSmcKBp7ZMr-laYMUhA","Pets, Pet Training, Pet Groomers, Pet Sitting, Pet Services, Pet Stores","Charlotte",True,"35","-81","PetSmart","28211","43","3","NC"
"210 N Church St","8QZA5AnGjo8gGu0HzWCSmA","Real Estate, Apartments, Home Services","Charlotte",True,"35","-81","Avenue Uptown Condominium","28202","9","4","NC"
"1816 W Pointe Dr, Ste C","zi2CV7isWyGRxVXJxdDQXg",NULL,"Charlotte",True,"35","-81","Ceva Freight","28214","3","2","NC"
"7611 Pineville-matthews Rd","WJw_ty6Oj-FTdqzjKcZyEQ","Drugstores, Shopping, Food, Convenience Stores","Charlotte",False,"35","-81","Rite Aid","28226","4","4","NC"
"2839 Selwyn Ave, Ste C","aX3X4zujLzLefOAunl9krQ","Hair Salons, Beauty & Spas","Charlotte",False,"35","-81","Salon On Selwyn","28209","4","5","NC"
"4219 Providence Rd, Ste 3","bJ44rSxMNTAAF_WGI_jDEw","Italian, Restaurants","Charlotte",True,"35","-81","AQUA e VINO","28211","48","5","NC"
NULL,"af1NWCYL56dhq8JgWSyNQA","Hotels & Travel, Transportation, Limos","Charlotte",True,"35","-81","Royal Limousine","28234","4","3","NC"
"14135 Ballantyne Corporate Pl","8JLh0WHvGcfhbliRIrbBew","Doctors, Health & Medical, Allergists, Pulmonologist","Charlotte",True,"35","-81","Carolina Asthma & Allergy Center","28277","9","4","NC"
NULL,"K49O6DtxT2hyjcJcpgNr-A","Local Services, Appliances & Repair","Charlotte",True,"35","-81","Same Day Appliance Service","28220","6","1","NC"
"1916 Commonwealth Ave","E6iDtZGn7lYk2G2pueFhmg","Active Life, Fashion, Sports Wear, Shopping, Yoga, Nutritionists, Health & Medical, Sporting Goods, Women's Clothing, Shoe Stores, Accessories, Fitness & Instruction, Men's Clothing","Charlotte",True,"35","-81","Gumbo: The Store","28205","5","4","NC"
"1710 Kenilworth Ave, Ste 203","YzMUZjUMcgI-NSGu48-nIQ","Nightlife, Desserts, American (New), Food, Wine Bars, Bars, Restaurants, Italian","Charlotte",True,"35","-81","Dolce Ristorante","28203","166","4","NC"
"9131 A Nolley Ct","zMBe-8wcodS61pVL2VdQ6g","Dog Walkers, Pet Sitting, Pets, Pet Services","Charlotte",False,"35","-81","Merry Murphy Pet Sitters","28270","3","5","NC"
"1133 N Wendover Rd","C6eijBK1l2FOV_8MGnmsCA","Thrift Stores, Home & Garden, Shopping, Hardware Stores, Furniture Stores","Charlotte",True,"35","-81","Habitat Charlotte ReStore - Wendover","28211","26","3","NC"
"7836 Rea Rd","L6LbxymSr3RRG8W-tK8vUA","Music & DVDs, Books, Mags, Music & Video, Videos & Video Game Rental, Bookstores, Shopping","Charlotte",False,"35","-81","Borders Books Music & Cafe","28277","5","3","NC"
"4201 Park Rd","pwnH8YOzWS_vnlcUEiLZiA","Home Services, Keys & Locksmiths","Charlotte",False,"35","-81","Park Road Lock and Key Shop","28202","10","5","NC"
"505 E 6th St","Pq2kDojfCW8B6s1ABna6ug","Restaurants, Sushi Bars, American (New)","Charlotte",False,"35","-81","505e","28202","8","4","NC"
"9821 Northlake Centre Pkwy, Ste A","QoyG3Q1dNym-qvbYPD8GJA","Professional Services, Internet Service Providers, Home Services, Shopping, Electronics, Mobile Phones","Charlotte",True,"35","-81","Verizon","28216","11","2","NC"
"200 N Tryon St","qjPC-pjICixwWsambEosqQ","Bars, Nightlife","Charlotte",False,"35","-81","Brick & Barrel","28202","3","3","NC"
"224 E 7th St","4bdSE3QyRb06sMthiYhhnQ","Food, Arts & Entertainment, Beer, Wine & Spirits, Wineries","Charlotte",True,"35","-81","Assorted Table Wine Shoppe","28202","27","5","NC"
"101 S Tryon St, Ste 10","3vxNIpEg5SmmInek0b7ulQ","Ice Cream & Frozen Yogurt, Food","Charlotte",False,"35","-81","The Frozen Isle","28280","11","5","NC"
"2000 S Blvd, Ste 150","NRFKiCg_6WJtuGpfb9dxVw","Herbs & Spices, Food, Specialty Food","Charlotte",True,"35","-81","Savory Spice Shop","28203","90","5","NC"
"5600 Albemarle Rd, Ste 100","OhrSAnP1H8Q9Mp54HpEbBA","Nail Salons, Beauty & Spas","Charlotte",True,"35","-81","Nails X","28212","15","4","NC"
"4614 Wilgrove Mint Hill Rd, Ste C10","14md4k-gaPkEApOvjtVgmw","Local Services, Pest Control, Wildlife Control","Charlotte",True,"35","-81","A-1 Wildlife Control","28277","5","4","NC"
"9630 S Tryon St","NWYEgpRzMiAFrGvs_6aQAQ","Mortgage Brokers, Banks & Credit Unions, Real Estate, Financial Services, Home Services","Charlotte",True,"35","-81","Bank of America","28273","3","3","NC"
"116 W 5th St","XZ3mhYC1L-0wK8N725I3Ig","Nightlife, Bars, Dance Clubs","Charlotte",True,"35","-81","Roxbury","28202","52","4","NC"
"10512 Park Rd","fN7_8qF3vT_nR7fqeggYxw","Health & Medical, Diagnostic Services, Laboratory Testing","Charlotte",True,"35","-81","Labcorp","28210","3","2","NC"
"6801 Northlake Mall Dr, Ste 168","i2sdz9dGZ5MIKP5rWjOwDA","Shopping, Women's Clothing, Fashion, Accessories","Charlotte",True,"35","-81","Charlotte Russe","28216","3","2","NC"
"1616 Camden Rd, Ste 100","tdo6JvAKwmMAKU8T5jfORw","Bars, Nightlife, Italian, Wine Bars, Restaurants","Charlotte",False,"35","-81","Fidelli Kitchen","28203","84","4","NC"
"901 South Kings Dr, Ste 100","IOpssLQ_3v34Q-BV9J3mJg","Sporting Goods, Shopping, Fashion, Sports Wear, Shoe Stores","Charlotte",True,"35","-81","Run For Your Life - Midtown","28204","12","5","NC"
"4226 South Blvd Ste A, 0","Xbd_sL81qS3eMqISjHrW4g","Car Rental, Hotels & Travel","Charlotte",True,"35","-81","Enterprise Rent-A-Car","28209","6","5","NC"
"8206 Providence Rd, Ste 1800","WgzVzQtNVKP4l7jC--YFoA","Vitamins & Supplements, Health Markets, Food, Specialty Food, Shopping, Health & Medical","Charlotte",True,"35","-81","Charlotte Vitamins and Health","28277","15","4","NC"
"8832 Blakeney Professional Dr, Ste 100","_iTsyRdHmwDKT2pQLW3LaA","Acupuncture, Naturopathic/Holistic, Massage Therapy, Doctors, Health & Medical, Chiropractors","Charlotte",True,"35","-81","Weddington Chiropractic Wellness Center - Blakeney","28277","3","5","NC"
"3619 E Independence Blvd","pCb0jYxksLR562vV7As1bQ","Delis, Sandwiches, Restaurants, Salad","Charlotte",True,"35","-81","Chris' Deli","28205","69","5","NC"
"312 S Tryon St","pOoTOFxOh3UH03par0xEBg","Food Trucks, Mexican, Restaurants, Food","Charlotte",False,"35","-81","SoCal Taco Stand","28202","17","4","NC"
"8542 University City Blvd","n-BoGXG2NItNbr_PMtIRBg","Italian, Restaurants, Event Planning & Services, Pizza, Caterers","Charlotte",True,"35","-81","Amalfi's Pasta 'n' Pizza","28213","81","4","NC"
"9921 Hannon Rd","HImkDn27uiGI3IGDf-uvuQ","Tree Services, Home Services","Charlotte",True,"35","-81","Biddy E C Tree Service","28227","3","5","NC"
"4423 Sharon Rd","S7JAMTags6lWb2Q3Nd2IKA","Restaurants, Barbeque, Bars, Nightlife, Whiskey Bars","Charlotte",True,"35","-81","Treehouse Bourbon & BBQ","28211","4","4","NC"
"224 E 7th St","tjAeaGdxf7I4xN9M7wGJNQ","Vegetarian, Gluten-Free, Food, Restaurants, Pizza, Farmers Market","Charlotte",True,"35","-81","Pure Pizza","28202","259","4","NC"
"7309 E Independence Blvd","x2ICPrIKgRcLFMsxsZUVFQ","Hair Salons, Hair Extensions, Makeup Artists, Beauty & Spas","Charlotte",False,"35","-81","Styling Iconz Beauty Lounge","28227","4","3","NC"
"1935 Galleria Blvd","bVqx58OBEqqgMJvaQMyZJQ","Financial Services, Banks & Credit Unions","Charlotte",True,"35","-81","SunTrust Bank","28270","3","5","NC"
"13840 Ballantyne Corporate Pl, Ste 175","iAtCgs1XXPeHVrftHOv1dQ","Event Planning & Services, Caterers","Charlotte",True,"35","-81","On the Green Deli & Catering","28277","11","4","NC"
"11030 Golf Links Dr, Ste 204","S08GmSYtx197Nw9oTr3dLA","Shopping, Optometrists, Eyewear & Opticians, Health & Medical, Laser Eye Surgery/Lasik","Charlotte",True,"35","-81","Carolinas Vision Group","28277","4","5","NC"
"11508 Providence Rd","9Zhiktm7_LYN_uxaT9XEhg","Restaurants, Chinese","Charlotte",True,"35","-81","The Wok","28277","46","4","NC"
"9523 South Blvd","NaRKGK9mId9SsOfToYHYHQ","Hobby Shops, Art Supplies, Arts & Crafts, Fabric Stores, Home Decor, Home & Garden, Shopping","Charlotte",True,"35","-81","Jo-Ann Fabrics and Crafts","28273","28","3","NC"
"3007 Central Ave","sHIG0hjQHoxal9a1zwSinw","Ethiopian, Restaurants","Charlotte",True,"35","-81","Abugida Ethiopian Cafe & Restaurant","28205","98","5","NC"
"9528 N Tryon St","S4MRcfcWrXXH_UwCaKEhww","Pets, Pet Boarding, Veterinarians, Pet Groomers, Pet Services, Pet Sitting","Charlotte",True,"35","-81","Hight Veterinary Hospital","28262","7","3","NC"
"303 E Woodlawn Rd","9p80iZvVnZdw9U5wtDyp4Q","Sandwiches, Food, Meat Shops, Restaurants, Event Planning & Services, Delis, Cafes, Caterers, Specialty Food","Charlotte",True,"35","-81","Honey Baked Ham Company","28217","13","4","NC"
"2215 Randolph Rd","opNt5-A6PkpCgYCwSAaksA","Cosmetic Surgeons, Doctors, Health & Medical, Surgeons, Plastic Surgeons","Charlotte",True,"35","-81","Jack  F Scheuer III, MD","28207","3","5","NC"
"11926 Providence Rd, Ste E-2","AzejCvRnEFaaBxg7x46eHA","Party & Event Planning, Gymnastics, Active Life, Event Planning & Services, Kids Activities","Charlotte",True,"35","-81","The Little Gym - Ballantyne","28277","3","5","NC"
"3410 St Vardell Ln","BpW65jN4yscndnTsdyzoHQ","Caterers, Event Planning & Services, Restaurants, Food, Food Stands, Arts & Crafts, Shopping, Cooking Classes, Food Trucks","Charlotte",True,"35","-81","Roots Catering","28217","36","4","NC"
"220 Alpha Mills Ln","mfVrZNl4HHc8sxTl8rjztg","Apartments, Home Services, Real Estate","Charlotte",True,"35","-81","Alpha Mill Apartments","28206","22","4","NC"
"3016 Attaberry Dr","cZ86R4KIvSuTZiC5U4mhFg","Food Stands, Restaurants, Food, Street Vendors","Charlotte",False,"35","-81","Goody Woody's","28205","6","4","NC"
"1829 Cleveland Ave","yIxP32hWfZm5gyYUUh2WBA","American (New), Wine Bars, Restaurants, Bars, Seafood, Nightlife","Charlotte",True,"35","-81","Bonterra Restaurant & Wine Room","28203","139","4","NC"
"230 E Wt Harris Blvd, Ste B9","ZCXjNG1EBFiKKMtR9DOTGg","Seafood, Bars, Nightlife, Restaurants, Thai","Charlotte",True,"35","-81","Thai House - University","28262","314","4","NC"
"214 N Tryon St, Ste 130","xFSCaBlcnDXSGFPUtYtuXA","Restaurants, Chicken Wings, Sandwiches, Pizza","Charlotte",True,"35","-81","Fuel Pizza","28202","74","3","NC"
"3319 Pineville Matthews Rd","l_8oJcHtIitNtwyeW3DmyA","Optometrists, Health & Medical, Eyewear & Opticians, Shopping","Charlotte",True,"35","-81","Visionworks","28226","12","3","NC"
"2516 Sardis Rd N","4OlXqS0Th9Rphs-3JgVZJA","Men's Clothing, Fashion, Shopping, Women's Clothing","Charlotte",True,"35","-81","Burlington Coat Factory","28227","10","3","NC"
"2927 Selwyn Ave","HHj26nP_9Xs0_YSVCtWZEA","Laundry Services, Local Services, Dry Cleaning & Laundry","Charlotte",True,"35","-81","Selwyn Cleaners & Laundry","28209","4","2","NC"
"2334 The Plz","c1qs4LjaRGKKi4_uu8VQ5Q","Real Estate, Property Management, Home Services","Charlotte",True,"35","-81","Four Seasons Property Management","28205","3","1","NC"
"5105 Piper Station Dr","-FrNp2XC5AN7J57ozQ2dLw","Pet Groomers, Veterinarians, Pet Sitting, Pets, Pet Services","Charlotte",True,"35","-81","Piper Glen Animal Hospital","28277","17","5","NC"
"10019 Rea Rd","UgPdanBPEQyoYUv1MGF6dQ","Tires, Auto Parts & Supplies, Automotive, Oil Change Stations, Auto Repair","Charlotte",True,"35","-81","Firestone Complete Auto Care","28277","16","2","NC"
"3019 Shamrock Dr","KEGLWeFAWXvo0W2LnujhtQ","Vietnamese, Restaurants","Charlotte",True,"35","-81","Lang Van Vietnamese","28215","345","5","NC"
"10039 University City Blvd, Ste C","8fB3OodPzYuagvnEWzULeA","Restaurants, Pizza","Charlotte",True,"35","-81","Hungry Howie's Pizza","28262","15","3","NC"
"2903-C Central Ave","CKNCkp6idxFd0KY18iGv5Q","Soul Food, American (Traditional), Comfort Food, Restaurants","Charlotte",False,"35","-81","Second Helping","28205","15","5","NC"
"1411 Elizabeth Ave","D-RQsQjEVI_w-KC7iDJd5Q","Asian Fusion, Restaurants, Vegetarian, Malaysian, Sushi Bars","Charlotte",False,"35","-81","Cuisine Malaya","28204","158","4","NC"
"125 W Park Ave","gnYgjMCF9VT03qMOiiDygw","Real Estate, Home Services, Apartments","Charlotte",True,"35","-81","Park and Kingston","28203","4","5","NC"
"3601 Brookshire Blvd","BAnkejp9fakD_S8AQBGG5Q","Hotels & Travel, Event Planning & Services, Hotels","Charlotte",True,"35","-81","Rodeway Inn","28216","3","2","NC"
"1600 E Woodlawn Rd, Ste 150","WnLhd38sH80ViWwzyF7yoA","Restaurants, Korean, Thai","Charlotte",True,"35","-81","Hibiscus","28209","183","4","NC"
"10370 Park Rd, Ste 100","vrCN175x5PLshWAgKjWMVA","Surgeons, Health & Medical, Podiatrists, Doctors, Sports Medicine","Charlotte",True,"35","-81","Carmel Foot Specialists, PA","28210","13","3","NC"
"2315 N Davidson St","-dcI8oWvxdMCGp00da8Ksg","Breweries, Pubs, Bars, Nightlife, Food","Charlotte",False,"35","-81","Birdsong Brewing","28205","84","5","NC"
"4400 Sharon Rd","5py-HIXcvKqoa-D0ONbnug","Home & Garden, Furniture Stores, Home Decor, Shopping","Charlotte",True,"35","-81","Pottery Barn","28211","10","3","NC"
"10015 Parthenon Ct","Xoru1PXm0dr6NTSra-9dgg","Home Services, Real Estate, Apartments","Charlotte",True,"35","-81","Landings at Greenbrooke Apartments","28262","3","4","NC"
"9605 N Tryon St, # E","jaG7VQ25LDED8OnFfy_TYQ","Beauty & Spas, Nail Salons","Charlotte",True,"35","-81","Van Nails & Alterations","28262","3","2","NC"
"5501 Josh Birmingham Pkwy","o3c5eZcW5Z9OYmTPTf-hhw","Transportation, Airlines, Hotels & Travel","Charlotte",True,"35","-81","Frontier Airlines","28208","21","2","NC"
